song_name,artist,genre,popularity,release_date,music_link,track_id,image,duration_ms,explicit,external_urls,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
FAN,Offset,Rap,58,15/09/2023,https://open.spotify.com/track/166lmjn9xjWj1AEdGX8PYh,166lmjn9xjWj1AEdGX8PYh,https://i.scdn.co/image/ab67616d0000b273c90f1364c43b113cb2c1fe1f,156307,TRUE,https://open.spotify.com/track/166lmjn9xjWj1AEdGX8PYh,0.676,0.844,5,-4.831,0,0.407,0.271,0,0.0994,0.424,163.992
Red Room,Offset,Rap,57,22/02/2019,https://open.spotify.com/track/4TWflhgevIGo448fWc6mQq,4TWflhgevIGo448fWc6mQq,https://i.scdn.co/image/ab67616d0000b2737028679269dc6a5a29ce8f36,241440,TRUE,https://open.spotify.com/track/4TWflhgevIGo448fWc6mQq,0.936,0.559,7,-8.587,0,0.157,0.479,0,0.128,0.527,112.347
CODE (feat. Moneybagg Yo),"Offset, Moneybagg Yo",Rap,54,26/08/2022,https://open.spotify.com/track/5uVW9FWVaQde0lfF4hYs4C,5uVW9FWVaQde0lfF4hYs4C,https://i.scdn.co/image/ab67616d0000b273de0dd9a6692b2b669602f5f7,192428,TRUE,https://open.spotify.com/track/5uVW9FWVaQde0lfF4hYs4C,0.599,0.598,4,-7.015,0,0.124,0.0502,5.01E-05,0.173,0.343,179.49
BIG DAWG,Offset,Rap,54,13/10/2023,https://open.spotify.com/track/28wtiGfwWVdxbZDW52S3kz,28wtiGfwWVdxbZDW52S3kz,https://i.scdn.co/image/ab67616d0000b2738473cdc72d9c6f9a2787e070,105067,TRUE,https://open.spotify.com/track/28wtiGfwWVdxbZDW52S3kz,0.868,0.734,1,-5.352,1,0.333,0.185,0,0.0856,0.894,146.011
Red Room,Offset,Rap,53,14/02/2019,https://open.spotify.com/track/2MJdgSby3DtSS7bUJx2cly,2MJdgSby3DtSS7bUJx2cly,https://i.scdn.co/image/ab67616d0000b27357d507a1e6544c22fdc1e6fb,241440,TRUE,https://open.spotify.com/track/2MJdgSby3DtSS7bUJx2cly,0.936,0.559,7,-8.591,0,0.158,0.479,0,0.129,0.517,112.339
DOPE BOY (feat. Young Nudy),"Offset, Young Nudy",Rap,53,13/10/2023,https://open.spotify.com/track/1lLl9Wu4ULpHaLYypCwoi9,1lLl9Wu4ULpHaLYypCwoi9,https://i.scdn.co/image/ab67616d0000b2738473cdc72d9c6f9a2787e070,163600,TRUE,https://open.spotify.com/track/1lLl9Wu4ULpHaLYypCwoi9,0.884,0.907,10,-5.793,0,0.272,0.0365,0,0.0556,0.625,135.069
FREAKY (feat. Cardi B),"Offset, Cardi B",Rap,53,13/10/2023,https://open.spotify.com/track/5YoRDtZRUMiPX9cZDyOFVk,5YoRDtZRUMiPX9cZDyOFVk,https://i.scdn.co/image/ab67616d0000b2738473cdc72d9c6f9a2787e070,199667,TRUE,https://open.spotify.com/track/5YoRDtZRUMiPX9cZDyOFVk,0.893,0.578,1,-6.375,1,0.0822,0.0204,1.65E-06,0.112,0.449,91.498
PRINCESS CUT (feat. Chlöe),"Offset, Chlöe",Rap,53,13/10/2023,https://open.spotify.com/track/6ImlaH0w77rWxihtFnmov7,6ImlaH0w77rWxihtFnmov7,https://i.scdn.co/image/ab67616d0000b2738473cdc72d9c6f9a2787e070,250000,TRUE,https://open.spotify.com/track/6ImlaH0w77rWxihtFnmov7,0.698,0.641,10,-6.848,0,0.0697,0.33,0,0.206,0.273,122.987
54321,Offset,Rap,50,19/08/2022,https://open.spotify.com/track/0iPb0dxCtjFcmFa2ElfBJ5,0iPb0dxCtjFcmFa2ElfBJ5,https://i.scdn.co/image/ab67616d0000b2732f5d99957ee95c012b01c5d4,182326,TRUE,https://open.spotify.com/track/0iPb0dxCtjFcmFa2ElfBJ5,0.934,0.694,9,-4.455,0,0.175,0.117,0,0.239,0.464,129.028
I'M ON,Offset,Rap,52,13/10/2023,https://open.spotify.com/track/0FyRrCNUbl5Gy5HOuJW0aX,0FyRrCNUbl5Gy5HOuJW0aX,https://i.scdn.co/image/ab67616d0000b2738473cdc72d9c6f9a2787e070,205573,TRUE,https://open.spotify.com/track/0FyRrCNUbl5Gy5HOuJW0aX,0.835,0.562,1,-8.48,1,0.386,0.11,0.000193,0.0993,0.628,170.014
