song_name,artist,genre,popularity,release_date,music_link,track_id,image
Shine Your Light,Charlie Landsborough,country,1,2020-11-27,https://open.spotify.com/track/3fsnsmcRDLHuV8Nrjf2OBd,3fsnsmcRDLHuV8Nrjf2OBd,https://i.scdn.co/image/ab67616d0000b273daffa51d4834f860f3ab4107
Before She Changes Her Mind,Clay Hollis,country,13,2022-11-18,https://open.spotify.com/track/7oZ6QH1UWbJvpUaRaKB2Gg,7oZ6QH1UWbJvpUaRaKB2Gg,https://i.scdn.co/image/ab67616d0000b27348175b603f366a707777463e
It's Amazing,Tyler Wood,country,13,2021-10-01,https://open.spotify.com/track/0jqmmPY7qnFEEFunUZtNp5,0jqmmPY7qnFEEFunUZtNp5,https://i.scdn.co/image/ab67616d0000b273bfbbb805e396e4d7719dbc54
I Hope You’re Happy Now,Carly Pearce,country,10,2022-11-18,https://open.spotify.com/track/5WAxevygaTSSeDjk4YigD1,5WAxevygaTSSeDjk4YigD1,https://i.scdn.co/image/ab67616d0000b2736530620470e9ac11cf174416
Knee On,Clayton Shay,country,23,2021-04-28,https://open.spotify.com/track/2Ls3eAK8JioZRuyI508fIn,2Ls3eAK8JioZRuyI508fIn,https://i.scdn.co/image/ab67616d0000b2738e632ed3ecd353ebc089f106
Park the Pickup (Kiss the Girl),Chad Brock,country,0,2022-04-08,https://open.spotify.com/track/2ZrBRPUKJ1mvYWdZ1Rs27M,2ZrBRPUKJ1mvYWdZ1Rs27M,https://i.scdn.co/image/ab67616d0000b273df2a52adda288bf9cdb360c4
Life is a Highway,Rascal Flatts,country,2,2022-03-08,https://open.spotify.com/track/69gsZDYa8aShnXZ67EBvq7,69gsZDYa8aShnXZ67EBvq7,https://i.scdn.co/image/ab67616d0000b273add30b7590231675878e93ef
She Had Me at Heads Carolina,Cole Swindell,country,2,2023-05-25,https://open.spotify.com/track/3ozcTxpJs7MwxhUZlxEfg7,3ozcTxpJs7MwxhUZlxEfg7,https://i.scdn.co/image/ab67616d0000b273e4de701f00bda424872b858c
"God, Your Mama, And Me",Florida Georgia Line,country,0,2022-05-06,https://open.spotify.com/track/5HVlfWklvjXuXF8RgjgEnp,5HVlfWklvjXuXF8RgjgEnp,https://i.scdn.co/image/ab67616d0000b273dc1ddeb63fe72ece69552f69
Robby,Sarah Lee Langford,country,0,2022-09-23,https://open.spotify.com/track/5MV4vf3MsG9hMhXMePxJk4,5MV4vf3MsG9hMhXMePxJk4,https://i.scdn.co/image/ab67616d0000b273fc7f0726db8d6b3ad06011a6
