song_name,artist,genre,popularity,release_date,music_link,track_id
rubinowe wino,Kuban,hip-hop,55,2023-03-24,https://open.spotify.com/track/5scYmJwXDkJKwZxCyZ2eJi,5scYmJwXDkJKwZxCyZ2eJi
JOHN 3:30,NXTMIKE,hip-hop,28,2021-07-16,https://open.spotify.com/track/00uAaNg90rBBWU5vgkohUs,00uAaNg90rBBWU5vgkohUs
Just Incase,Dann Dib,hip-hop,7,2023-03-02,https://open.spotify.com/track/1AAg299kOUjXp80dnHOCuR,1AAg299kOUjXp80dnHOCuR
NOWY DZIEŃ,Asster,hip-hop,49,2022-04-07,https://open.spotify.com/track/22Ru1lFS9H5Bvkrzyfkwov,22Ru1lFS9H5Bvkrzyfkwov
PLACEBO,$OHO BANI,hip-hop,20,2022-05-12,https://open.spotify.com/track/5pJraU3B8nn7yAC6v2PHvI,5pJraU3B8nn7yAC6v2PHvI
Kermapenkit,Kalle Kinos,hip-hop,12,2022-05-20,https://open.spotify.com/track/4rzUioaigLUeIPFIqa62T8,4rzUioaigLUeIPFIqa62T8
RUNAWAY (feat. RINI & Touch Sensitive),Ta-ku,hip-hop,30,2023-08-24,https://open.spotify.com/track/6It5eBWJKi6BwyE8c77Bq9,6It5eBWJKi6BwyE8c77Bq9
Bathtubs Full Of Veuve,DJ Muggs,hip-hop,12,2021-09-24,https://open.spotify.com/track/3XJtVRGrOG3G6ucEk736LY,3XJtVRGrOG3G6ucEk736LY
Aldrig Helt Væk,Jøden,hip-hop,10,2020-10-02,https://open.spotify.com/track/1SzV81aGl4QYAao5vN2oyj,1SzV81aGl4QYAao5vN2oyj
Todo Está Bien,Wk,hip-hop,44,2021-05-02,https://open.spotify.com/track/0nK02ID1wJvbLGSluFWpWF,0nK02ID1wJvbLGSluFWpWF
Pas de ralentir 2,Mig,hip-hop,38,2021-09-06,https://open.spotify.com/track/28dJZO09FHhotdIhdjKzE3,28dJZO09FHhotdIhdjKzE3
Duniyaa Lofi Mix,Akhil,hip-hop,53,2022-05-31,https://open.spotify.com/track/4yW8kY0QgRFionKeUhsIoL,4yW8kY0QgRFionKeUhsIoL
Marcio Non Farlo,Mondo Marcio,hip-hop,21,2022-10-07,https://open.spotify.com/track/6ZdkL0PHZTamee7fKiUT5Z,6ZdkL0PHZTamee7fKiUT5Z
My Radio,Che Lingo,hip-hop,33,2023-01-18,https://open.spotify.com/track/4vdFjNRT82GDyclhl2m1kZ,4vdFjNRT82GDyclhl2m1kZ
Cool Off,Missy Elliott,hip-hop,0,2023-12-07,https://open.spotify.com/track/5Cc0G9x02zBSaWTQgHknvO,5Cc0G9x02zBSaWTQgHknvO
Still I Am,Kamaiyah,hip-hop,17,2020-02-21,https://open.spotify.com/track/5hKgkmRHMbK1lg0Pysw6bb,5hKgkmRHMbK1lg0Pysw6bb
Happening Music for Coffee and Lunch,Coffeehouse Lounge,jazz,0,2022-10-06,https://open.spotify.com/track/2ifOOPMTrh6gQMIbh5DYAl,2ifOOPMTrh6gQMIbh5DYAl
