song_name,artist,genre,popularity,release_date,music_link,track_id,image
Coco,"Gabzy, Boj",Afrobeat,46,2017-06-23,https://open.spotify.com/track/6Ab10FzxzcBBrSzYCgdhl0,6Ab10FzxzcBBrSzYCgdhl0,https://i.scdn.co/image/ab67616d0000b273dfe9d11a874d1c159cda92be
Toxic,Gabzy,Afrobeat,46,2020-12-18,https://open.spotify.com/track/1wr9Qy4JEk84PovFDoOO3F,1wr9Qy4JEk84PovFDoOO3F,https://i.scdn.co/image/ab67616d0000b273b982007ef87767e0a336ed9d
Party Starter,Gabzy,Afrobeat,39,2021-07-29,https://open.spotify.com/track/0XeSRAQkhK7cJXlKHN3s4I,0XeSRAQkhK7cJXlKHN3s4I,https://i.scdn.co/image/ab67616d0000b27381b9b4b0d57e8856e3b9012d
Rice & Peas,Gabzy,Afrobeat,36,2022-05-13,https://open.spotify.com/track/05M4QRmytVTEO58puxL6Tp,05M4QRmytVTEO58puxL6Tp,https://i.scdn.co/image/ab67616d0000b2731ad184daa2a6de26297ebf2f
"Shoulda, Coulda, Woulda",Gabzy,Afrobeat,36,2022-05-13,https://open.spotify.com/track/1qj6ASbEi8nIPHZF7IKNoN,1qj6ASbEi8nIPHZF7IKNoN,https://i.scdn.co/image/ab67616d0000b2731ad184daa2a6de26297ebf2f
Must Be Sprung,Gabzy,Afrobeat,35,2020-12-18,https://open.spotify.com/track/15qVjChjPyfA7MxAnDKvn1,15qVjChjPyfA7MxAnDKvn1,https://i.scdn.co/image/ab67616d0000b273b982007ef87767e0a336ed9d
Brazil,"Gabzy, melvitto, Blanco",Afrobeat,32,2020-12-18,https://open.spotify.com/track/7u0eblOc9x8IiCz1U467Be,7u0eblOc9x8IiCz1U467Be,https://i.scdn.co/image/ab67616d0000b273b982007ef87767e0a336ed9d
Malone Interlude,Gabzy,Afrobeat,33,2020-12-07,https://open.spotify.com/track/26ZckTiYyqoICr61juBc4h,26ZckTiYyqoICr61juBc4h,https://i.scdn.co/image/ab67616d0000b273928b4c35ffdadf8fe876d5d1
God Bless My Enemies,Gabzy,Afrobeat,33,2022-05-13,https://open.spotify.com/track/5jhMkOT5ardqweInWckfDp,5jhMkOT5ardqweInWckfDp,https://i.scdn.co/image/ab67616d0000b2731ad184daa2a6de26297ebf2f
Way Too Much (feat. Dayor),"Gabzy, Dayor",Afrobeat,32,2022-05-13,https://open.spotify.com/track/77N2mZGuWvoFiSSdQqkGSi,77N2mZGuWvoFiSSdQqkGSi,https://i.scdn.co/image/ab67616d0000b2731ad184daa2a6de26297ebf2f
Way Too Much (feat. Dayor),"Gabzy, Dayor",Afrobeat,29,2022-05-12,https://open.spotify.com/track/56R1mRhjS0YfTSkIBIBK8e,56R1mRhjS0YfTSkIBIBK8e,https://i.scdn.co/image/ab67616d0000b27387e8c90478e99c91ad8d6a83
True Colours,Gabzy,Afrobeat,30,2022-05-13,https://open.spotify.com/track/3IGaza8dszO6MmD8Q9z9P6,3IGaza8dszO6MmD8Q9z9P6,https://i.scdn.co/image/ab67616d0000b2731ad184daa2a6de26297ebf2f
Summertime,"Gabzy, Gyptian",Afrobeat,25,2017-07-13,https://open.spotify.com/track/6dWA6Z9nFLLkALM5Y9I020,6dWA6Z9nFLLkALM5Y9I020,https://i.scdn.co/image/ab67616d0000b273f81e60d592e2819093f1f8e2
Mo da Mo,"Gabzy, Ayo Jay, Young ""D""",Afrobeat,21,2016-01-02,https://open.spotify.com/track/0rxNNQSJMKEAYx8Awv6Dv8,0rxNNQSJMKEAYx8Awv6Dv8,https://i.scdn.co/image/ab67616d0000b27366d8106e928e903761e17f16
Take Time,Gabzy,Afrobeat,25,2016-09-27,https://open.spotify.com/track/1Nma5cTR4zrSDZwGBg4erF,1Nma5cTR4zrSDZwGBg4erF,https://i.scdn.co/image/ab67616d0000b27394c4eda2591dae1045813e59
Malone Interlude,Gabzy,Afrobeat,24,2020-12-18,https://open.spotify.com/track/5H6dihMTgKMOEQTFhC7bop,5H6dihMTgKMOEQTFhC7bop,https://i.scdn.co/image/ab67616d0000b273b982007ef87767e0a336ed9d
Desande,"Gabzy, Carlos Colleen",Afrobeat,27,2021-12-10,https://open.spotify.com/track/0Vch9aVnZkKXOYQfrvfFx3,0Vch9aVnZkKXOYQfrvfFx3,https://i.scdn.co/image/ab67616d0000b273b8b0a545bcd5bc56b3f37693
Like This,"Gabzy, Carlos Colleen",Afrobeat,26,2022-04-22,https://open.spotify.com/track/4EMS6Lj2BL9KhXYQqb8i2t,4EMS6Lj2BL9KhXYQqb8i2t,https://i.scdn.co/image/ab67616d0000b2730c75babe6f183e1bbb7108ec
Slow it Down,"Gabzy, Di Paulo",Afrobeat,1,2021-03-29,https://open.spotify.com/track/1JsPa1i9xuqCdlf2ohbSKP,1JsPa1i9xuqCdlf2ohbSKP,https://i.scdn.co/image/ab67616d0000b273dccb9d406d0c1329bef68fcd
Ngozi,"Crayon, Ayra Starr",Afrobeat,73,2023-07-21,https://open.spotify.com/track/5mhM7bfzv52bzfCzlq8vH1,5mhM7bfzv52bzfCzlq8vH1,https://i.scdn.co/image/ab67616d0000b27332319e39298ace6b29b420f5
Ijo (Laba Laba),Crayon,Afrobeat,55,2023-07-21,https://open.spotify.com/track/59OGomfNJnA70zq7pQxkff,59OGomfNJnA70zq7pQxkff,https://i.scdn.co/image/ab67616d0000b27332319e39298ace6b29b420f5
After the Tone,"Crayon, Lossapardo",Afrobeat,46,2018-02-02,https://open.spotify.com/track/2NDoxY8IPCpGSHuujgRkmH,2NDoxY8IPCpGSHuujgRkmH,https://i.scdn.co/image/ab67616d0000b27320a93d433cd6629f7fc2639d
Ijo (Laba Laba),Crayon,Afrobeat,49,2022-07-06,https://open.spotify.com/track/7tZMF9Hn5uGsfC7zGXbSKM,7tZMF9Hn5uGsfC7zGXbSKM,https://i.scdn.co/image/ab67616d0000b27369c44ab1dbf38f73f34daa90
After the Tone - Duñe Remix,"Crayon, Duñe",Afrobeat,49,2018-06-27,https://open.spotify.com/track/3z8Gx0Xb9HoyiUoeQnVfuh,3z8Gx0Xb9HoyiUoeQnVfuh,https://i.scdn.co/image/ab67616d0000b273c4e83c87cd9125f82ad5190c
So Fine,Crayon,Afrobeat,47,2019-07-12,https://open.spotify.com/track/2CgKiJtYbJKzkJpo2J4Ks6,2CgKiJtYbJKzkJpo2J4Ks6,https://i.scdn.co/image/ab67616d0000b273b0a09ea4547fd2a06422a93b
パームサンデー,ぬいぐるみクレヨン Lush Crayon,Afrobeat,52,2019-02-14,https://open.spotify.com/track/5tDf33JbOJW8y8YK5ou83e,5tDf33JbOJW8y8YK5ou83e,https://i.scdn.co/image/ab67616d0000b273ebba7f70185768ed86ce2146
The One (Chop Life),"Crayon, Yaba Buluku Boyz",Afrobeat,48,2023-03-15,https://open.spotify.com/track/4QrZSUg5xCZpFKDIhJMU2Q,4QrZSUg5xCZpFKDIhJMU2Q,https://i.scdn.co/image/ab67616d0000b2739bae0d3f608f8223f0eeecd7
The One (Chop Life),"Crayon, Yaba Buluku Boyz",Afrobeat,48,2023-07-21,https://open.spotify.com/track/21HcaFI07UjZp94DIA1PcS,21HcaFI07UjZp94DIA1PcS,https://i.scdn.co/image/ab67616d0000b27332319e39298ace6b29b420f5
FADE AWAY,Crayon,Afrobeat,48,2024-02-16,https://open.spotify.com/track/3FIuvNRbMDueDoYERFy7yg,3FIuvNRbMDueDoYERFy7yg,https://i.scdn.co/image/ab67616d0000b2731c8e1b85ced355c57d3392ef
ファックラブ,ぬいぐるみクレヨン Lush Crayon,Afrobeat,51,2019-02-14,https://open.spotify.com/track/4LKbKa4vzUIWSkcbtmMLSF,4LKbKa4vzUIWSkcbtmMLSF,https://i.scdn.co/image/ab67616d0000b273ebba7f70185768ed86ce2146
Too Correct,"Crayon, Rema",Afrobeat,45,2021-03-26,https://open.spotify.com/track/3jZ6HPh1hWZJCuKJKS6Ey0,3jZ6HPh1hWZJCuKJKS6Ey0,https://i.scdn.co/image/ab67616d0000b273f3d986b6d7c6559ee9207566
Bar Bar Bar,Crayon Pop,Afrobeat,44,2016-09-26,https://open.spotify.com/track/4gdCLKxDflDweye4bsfNnW,4gdCLKxDflDweye4bsfNnW,https://i.scdn.co/image/ab67616d0000b2738a8cec8d477184ed5b91b873
Days of the Week,The Magic Crayons,Afrobeat,39,2010-08-01,https://open.spotify.com/track/3mYjfRWsw7jDzAi1mjIfjm,3mYjfRWsw7jDzAi1mjIfjm,https://i.scdn.co/image/ab67616d0000b273beabebc83e02f8a746f980c2
Give You Up - Darius Edit,Crayon,Afrobeat,27,2014-06-09,https://open.spotify.com/track/3bmBUlK7hmxzhGUCNFcyy6,3bmBUlK7hmxzhGUCNFcyy6,https://i.scdn.co/image/ab67616d0000b273dcb04c8e5a8c5f1794555880
Fake,Crayon,Afrobeat,35,2018-02-02,https://open.spotify.com/track/7AZg22rr9C9AW0Zh2zUCAK,7AZg22rr9C9AW0Zh2zUCAK,https://i.scdn.co/image/ab67616d0000b27320a93d433cd6629f7fc2639d
Pretty girl,Crayon,Afrobeat,44,2019-07-05,https://open.spotify.com/track/4SxzEOtZSTM9hwr41pQfwe,4SxzEOtZSTM9hwr41pQfwe,https://i.scdn.co/image/ab67616d0000b2733d274d6ba21392329a3cffca
人は人になる,ぬいぐるみクレヨン Lush Crayon,Afrobeat,44,2019-02-20,https://open.spotify.com/track/14wjFuBe7g5ynPHoRP5Ond,14wjFuBe7g5ynPHoRP5Ond,https://i.scdn.co/image/ab67616d0000b273e3328aa60460e38638553794
ありがとうございました,ぬいぐるみクレヨン Lush Crayon,Afrobeat,44,2019-02-20,https://open.spotify.com/track/63p9cPqqJ4o5ftOOfYl4AD,63p9cPqqJ4o5ftOOfYl4AD,https://i.scdn.co/image/ab67616d0000b273e3328aa60460e38638553794
Modupe,Crayon,Afrobeat,42,2023-07-21,https://open.spotify.com/track/3UA5LXMFM3z9HVGLDzfr75,3UA5LXMFM3z9HVGLDzfr75,https://i.scdn.co/image/ab67616d0000b27332319e39298ace6b29b420f5
Belle Full,"Crayon, Victony, KTIZO",Afrobeat,40,2023-07-21,https://open.spotify.com/track/5BSznVn8W7oSnp37eoNJj2,5BSznVn8W7oSnp37eoNJj2,https://i.scdn.co/image/ab67616d0000b27332319e39298ace6b29b420f5
After the Tone with Lossapardo,"Crayon, Lossapardo",Afrobeat,29,2017-11-15,https://open.spotify.com/track/6fKX7zoYa5nfpHnnmcKg6t,6fKX7zoYa5nfpHnnmcKg6t,https://i.scdn.co/image/ab67616d0000b2732c5c5acc713e45da47ed4d8c
What I Do,Crayon,Afrobeat,34,2015-08-21,https://open.spotify.com/track/2qQLy8vcfmQu2bl6XPzFDU,2qQLy8vcfmQu2bl6XPzFDU,https://i.scdn.co/image/ab67616d0000b273931b162ec7fc4e4079f66759
Gock Am,Crayon,Afrobeat,34,2019-07-12,https://open.spotify.com/track/5v9Ixug810aeOxyS4EXpSq,5v9Ixug810aeOxyS4EXpSq,https://i.scdn.co/image/ab67616d0000b273b0a09ea4547fd2a06422a93b
Belle Full,"Crayon, Victony, KTIZO",Afrobeat,42,2023-07-18,https://open.spotify.com/track/7ppSFPUTqVqp97SmOci4q8,7ppSFPUTqVqp97SmOci4q8,https://i.scdn.co/image/ab67616d0000b2739f3d31e6e45e2c81c0db0fef
Asiwaju,Ruger,Afrobeat,72,2023-09-01,https://open.spotify.com/track/6z5y2kdxF4XrEVRFVqdGVL,6z5y2kdxF4XrEVRFVqdGVL,https://i.scdn.co/image/ab67616d0000b273dee2ed7d8ddf97d1c42c0aaf
